speciescode,speciename
gyhbus1,Malaconotus blanchoti
chopoo1,Nyctiphrynus rosenbergi
quctin1,Eudromia formosa
wbwwre1,Henicorhina leucosticta
tilwar2,Phylloscopus presbytes
gryemt1,Bradypterus seebohmi
swewax1,Coccopygia bocagei
rucbab2,Malacopteron magnum
yestan1,Iridosornis reinhardti
ruhpar3,Paradoxornis ruficeps
buwsta1,Coeligena lutetiae
gnhsun1,Cyanomitra verticalis
rosgul,Rhodostethia rosea
whethr1,Turdus jamaicensis
piemon1,Arses kaupi
boucha1,Pinarornis plumosus
altyel1,Geothlypis flavovelata
helmyn1,Basilornis galeatus
whsant2,Thamnophilus aethiops
corshe1,Calonectris borealis
barwar,Setophaga subita
weteag1,Aquila audax
sackin1,Todiramphus sanctus
littin1,Crypturellus soui
brewoo1,Pardipicus caroli
bkcbar1,Actinodura sodangorum
quailf1,Ortygospiza atricollis
bracor,Urile penicillatus
strant2,Drymophila devillei
vibhyl1,Hyliota violacea
whcthi1,Asthenes fuliginosa
flomin1,Pericrocotus lansbergei
nigfin1,Nesospiza acunhae
indwhe1,Zosterops palpebrosus
grytre1,Dendrocitta formosae
ashfly1,Fraseria caerulescens
yelbut1,Turnix tanki
henspa,Centronyx henslowii
spaown1,Aegotheles tatei
rufjuf1,Vauriella insignis
vadvan1,Xenopirostris damii
kokako4,Callaeas cinereus
busfla1,Chrysocolaptes lucidus
piipig1,Ducula bicolor
plalar1,Corypha kabalii
pebsee1,Sporophila pileata
subbrw1,Nesillas lantzii
grrspa1,Passer motitensis
bltfly1,Myiobius atricaudus
stelor1,Vini stepheni
renwoo1,Campephilus rubricollis
elepai4,Chasiempis ibidis
grdswi1,Cypseloides senex
gospic1,Picumnus exilis
hoovul1,Necrosyrtes monachus
rhiauk,Cerorhinca monocerata
cbipig2,Ducula basilica
sltcis1,Cisticola melanurus
ruftof1,Poecilotriccus latirostris
fisgre1,Phyllastrephus fischeri
sulmyz1,Myzomela chloroptera
bkcwhi1,Pachycephala mentalis
pabspi1,Synallaxis albescens
cubpar2,Psittacara euops
reunih1,Nycticorax duboisi
tbosun1,Aethopyga tibolii
recbus1,Lophotis ruficrista
saggro,Centrocercus urophasianus
towshe3,Puffinus myrtae
litrav1,Corvus mellori
blapew1,Contopus nigrescens
shtsta1,Aplonis minor
hawcoo,Fulica alai
thtjac1,Jacamaralcyon tridactyla
dorcht1,Ochthoeca oenanthoides
blctyr2,Taeniotriccus andrei
bisswi1,Streptoprocne biscutata
mabara1,Pteroglossus pluricinctus
ocfant1,Grallaricula ochraceifrons
sabgul,Xema sabini
piipig2,Ducula pinon
pohsta1,Aplonis pelzelni
godbun1,Emberiza godlewskii
shbgrf3,Geospiza difficilis
moutur1,Pteroptochos megapodius
minlor1,Trichoglossus johnstoniae
ytweye1,Zosterops metcalfii
tembab1,Pellorneum pyrrogenys
risant1,Myrmotherula sunensis
monstp1,Hydrobates monteiroi
brutin1,Nothoprocta cinerascens
capher1,Pilherodius pileatus
chbnut2,Sitta castanea
blalar4,Calandrella eremica
redhea,Aythya americana
bkbwoo,Picoides arcticus
zenhon1,Melignomon zenkeri
rebfir2,Lagonosticta senegala
narfly2,Ficedula narcissina
cacgoo1,Branta hutchinsii
grahon5,Meliphaga imitatrix
marsun2,Cinnyris mariquensis
colcro1,Corvus torquatus
higgua1,Penelopina nigra
whbduc1,Thalassornis leuconotus
gyctit1,Lophophanes dichrous
dunlin,Calidris alpina
saftou2,Pteroglossus bailloni
inchum1,Saucerottia cyanifrons
ysbfin1,Atlapetes citrinellus
norcas1,Casuarius unappendiculatus
indrol2,Coracias benghalensis
malbrw1,Nesillas typica
wbspet1,Fregetta grallaria
phifab1,Irena cyanogastra
luzred1,Phoenicurus bicolor
bathaw1,Macheiramphus alcinus
bucman1,Lepidothrix velutina
pibtan1,Chlorospingus inornatus
flcman2,Heterocercus linteatus
blaeag1,Ictinaetus malaiensis
souful1,Fulmarus glacialoides
cattyr,Machetornis rixosa
blfmon1,Monarcha melanopsis
blbtre1,Thripadectes melanorhynchus
btmjay,Cyanocorax colliei
pluwar1,Setophaga plumbea
socwar2,Incana incana
chwbab3,Cyanoderma bicolor
taibuw1,Locustella alishanensis
ruwtan1,Tangara lavinia
babpic1,Picumnus aurifrons
plbpip1,Anthus leucophrys
lotwid1,Euplectes progne
blksco1,Melanitta nigra
amufal1,Falco amurensis
blarai1,Pardirallus nigricans
amaant2,Thamnophilus amazonicus
tabdro1,Dicrurus menagei
rtathr1,Neocossyphus rufus
bicpen1,Eudyptes sclateri
wbctyr1,Ochthoeca leucophrys
blacra1,Zapornia flavirostra
placuc3,Cacomantis passerinus
whwtri2,Lalage sueurii
gcptan1,Phaenicophilus poliocephalus
fuesni1,Gallinago stricklandii
limalb1,Phoebetria palpebrata
gragra1,Quiscalus niger
noywhe2,Zosterops kasaicus
bichaw4,Astur chilensis
soubou1,Laniarius ferrugineus
runlar1,Corypha africana
banpit4,Hydrornis schwaneri
tonwhi1,Pachycephala jacquinoti
pacloo,Gavia pacifica
phifal1,Microhierax erythrogenys
lesgol,Spinus psaltria
motpet,Pterodroma inexpectata
spakoo1,Dacelo tyro
mabwhi1,Coracornis raveni
fotswi,Apus pacificus
orfdov1,Ptilinopus ornatus
ryurob2,Larvivora komadori
giawre1,Campylorhynchus chiapensis
whtbul1,Alophoixus flaveolus
tocspa1,Arremonops tocuyensis
casoro2,Cacicus oseryi
pitman1,Ilicura militaris
rebpar5,Arborophila hyperythra
blasic1,Epimachus fastosus
nelwea1,Ploceus nelicourvi
guathi2,Cincloramphus whitneyi
gybwow3,Henicorhina anachoreta
beasne1,Circaetus beaudouini
sctkit1,Chelictinia riocourii
chaowl1,Strix chacoensis
nigrew1,Acrocephalus luscinius
warfly1,Pseudobias wardi
permar1,Progne murphyi
whtlap1,Vanellus leucurus
zelant1,Hafferia zeledoni
loupit1,Erythropitta meeki
rutjac1,Galbula ruficauda
yelpig1,Columba pallidiceps
rebbut2,Turnix maculosus
wwdfin1,Idiopsar speculifer
chfrai1,Rallicula rubra
comcic4,Edolisoma meyerii
mosbou1,Laniarius poensis
y00415,Certhilauda curvirostris
capwhe3,Zosterops fuscicapilla
joygre1,Chlorocichla laetissima
strowl1,Asio clamator
easmea,Sturnella magna
abbboo2,Papasula abbotti
rubnun1,Nonnula rubecula
pygbat1,Batis perkeo
